left_elbow_angle,right_elbow_angle,shoulder_hip_dist,view_type,label
105.89,96.56,0.1865,2,-1
101.36,90.44,0.1875,2,-1
97.75,77.83,0.1823,2,-1
93.24,71.43,0.176,2,0
89.42,66.93,0.176,2,0
86.04,64.87,0.1698,2,0
82.98,64.46,0.1625,2,0
85.57,65.66,0.1615,2,0
81.85,62.2,0.1562,2,0
79.04,62.16,0.1521,2,0
76.83,61.39,0.1469,2,0
77.61,61.91,0.1479,2,0
77.19,61.24,0.1448,2,0
77.7,60.89,0.1458,2,0
78.97,64.12,0.149,2,0
79.01,63.16,0.149,2,0
80.02,60.58,0.149,2,0
87.48,59.47,0.1594,2,0
92.07,62.15,0.1677,2,0
96.11,76.73,0.1812,2,-1
95.93,80.37,0.1802,2,-1
97.93,86.34,0.1833,2,-1
106.21,106.71,0.1906,2,-1
115.85,111.9,0.1938,2,-1
124.21,131.1,0.2,2,-1
133.27,132.08,0.2031,2,-1
138.31,139.42,0.2,2,-1
144.77,151.97,0.2,2,1
147.67,154.78,0.2021,2,1
152.23,159.28,0.1958,2,1
159.9,167.72,0.1948,2,1
163.46,160.84,0.1906,2,1
166.49,157.02,0.1833,2,1
166.0,155.48,0.175,2,1
165.89,158.0,0.1656,2,1
165.03,158.11,0.1604,2,1
165.03,156.47,0.1625,2,1
164.15,149.23,0.1625,2,-1
162.23,151.5,0.1615,2,1
162.48,152.48,0.1573,2,1
162.84,161.46,0.1521,2,1
163.87,159.95,0.149,2,1
163.84,156.04,0.1417,2,1
166.45,155.08,0.1406,2,1
169.22,153.54,0.1448,2,1
158.18,146.35,0.1448,2,-1
165.4,144.95,0.1427,2,-1
169.66,149.21,0.1427,2,-1
171.77,157.52,0.1437,2,1
173.22,170.68,0.1458,2,1
174.83,174.29,0.1458,2,1
174.36,174.63,0.1531,2,1
174.7,170.78,0.1583,2,1
172.0,166.39,0.1594,2,1
172.93,165.57,0.1615,2,1
169.76,170.58,0.1677,2,1
168.36,170.57,0.1719,2,1
168.31,173.38,0.174,2,1
167.02,170.18,0.1781,2,1
165.81,165.77,0.1812,2,1
165.69,162.54,0.1833,2,1
164.29,159.0,0.1854,2,1
164.95,158.41,0.1865,2,1
166.13,160.19,0.1854,2,1
166.39,157.86,0.1865,2,1
166.17,153.95,0.1865,2,1
167.11,151.31,0.1875,2,1
164.95,156.85,0.1875,2,1
165.02,158.18,0.1854,2,1
164.31,160.85,0.1844,2,1
164.58,162.38,0.1844,2,1
164.12,163.85,0.1812,2,1
164.15,165.17,0.1802,2,1
163.83,167.55,0.1802,2,1
163.83,169.16,0.1802,2,1
162.89,169.45,0.1802,2,1
163.13,168.96,0.1792,2,1
163.15,169.42,0.1781,2,1
164.13,165.01,0.1781,2,1
164.22,165.29,0.1792,2,1
164.22,166.37,0.1792,2,1
164.22,160.51,0.1792,2,1
165.19,159.38,0.1802,2,1
165.19,160.16,0.1802,2,1
163.99,161.12,0.1812,2,1
164.22,162.38,0.1812,2,1
163.89,162.67,0.1812,2,1
164.73,164.16,0.1812,2,1
164.53,162.38,0.1823,2,1
164.17,159.2,0.1833,2,1
164.17,155.61,0.1833,2,1
164.17,154.97,0.1833,2,1
165.37,150.78,0.1823,2,1
163.96,153.53,0.1823,2,1
163.96,155.41,0.1812,2,1
163.87,158.41,0.1802,2,1
161.7,160.39,0.1812,2,1
162.03,160.39,0.1812,2,1
162.02,157.38,0.1823,2,1
162.02,155.84,0.1833,2,1
162.44,155.45,0.1844,2,1
161.48,156.41,0.1865,2,1
161.26,153.39,0.1865,2,1
161.48,154.5,0.1875,2,1
158.24,153.36,0.1875,2,1
154.89,138.51,0.1917,2,-1
150.13,130.61,0.1979,2,-1
148.02,129.72,0.201,2,-1
146.35,117.39,0.2,2,-1
143.54,108.12,0.1948,2,-1
136.54,104.89,0.1958,2,-1
130.98,102.43,0.1906,2,-1
126.95,104.65,0.1938,2,-1
122.19,97.86,0.1927,2,-1
120.75,91.11,0.1958,2,-1
115.46,87.58,0.2,2,-1
110.65,79.45,0.1906,2,-1
105.01,74.5,0.1844,2,0
96.7,75.23,0.1885,2,-1
95.77,67.25,0.1833,2,0
87.93,53.13,0.1729,2,0
83.99,54.36,0.1656,2,0
83.69,48.28,0.1604,2,0
80.21,47.72,0.1521,2,0
77.17,53.31,0.1458,2,0
76.49,51.56,0.1437,2,0
77.27,52.32,0.1406,2,0
77.79,52.39,0.1396,2,0
77.97,54.15,0.1365,2,0
76.47,55.14,0.1354,2,0
77.74,57.85,0.1375,2,0
77.83,60.14,0.1406,2,0
77.02,64.66,0.1375,2,0
77.43,61.21,0.1354,2,0
77.83,61.77,0.1375,2,0
83.02,61.58,0.1396,2,0
89.91,63.88,0.1448,2,0
98.11,70.27,0.1531,2,0
100.05,83.66,0.1604,2,-1
101.05,90.0,0.1688,2,-1
107.05,101.47,0.1844,2,-1
126.17,112.54,0.1823,2,-1
133.91,130.6,0.1938,2,-1
136.8,136.12,0.2115,2,-1
138.97,137.29,0.2146,2,-1
146.18,145.63,0.2073,2,-1
149.81,151.92,0.2052,2,1
152.55,153.27,0.2021,2,1
154.0,154.23,0.1979,2,1
155.12,156.8,0.1948,2,1
155.57,155.77,0.1917,2,1
156.42,152.06,0.1906,2,1
155.62,151.35,0.1885,2,1
155.83,149.38,0.1875,2,-1
157.04,143.35,0.1885,2,-1
157.33,147.11,0.1875,2,-1
156.78,145.82,0.1885,2,-1
156.78,144.45,0.1865,2,-1
156.52,144.04,0.1865,2,-1
156.23,143.48,0.1865,2,-1
155.69,142.4,0.1875,2,-1
149.91,140.49,0.1885,2,-1
145.99,135.47,0.1917,2,-1
142.56,126.05,0.1906,2,-1
140.39,119.48,0.1885,2,-1
137.64,119.02,0.1865,2,-1
134.3,118.1,0.1958,2,-1
134.05,109.62,0.1906,2,-1
133.69,105.61,0.1948,2,-1
133.11,105.23,0.1948,2,-1
131.47,99.12,0.1938,2,-1
125.98,93.11,0.1948,2,-1
116.29,85.46,0.1906,2,-1
109.74,84.09,0.1906,2,-1
102.89,73.65,0.1917,2,0
98.04,61.96,0.1958,2,0
93.93,60.87,0.1792,2,0
87.64,57.67,0.1802,2,0
83.99,57.64,0.175,2,0
80.84,62.11,0.1688,2,0
77.43,72.19,0.1656,2,0
77.77,71.06,0.1625,2,0
74.49,63.33,0.1542,2,0
73.66,56.65,0.15,2,0
75.1,54.91,0.1479,2,0
75.12,54.93,0.1458,2,0
74.73,57.0,0.1448,2,0
77.28,56.62,0.1448,2,0
77.0,57.84,0.1458,2,0
76.58,57.14,0.1437,2,0
76.7,57.11,0.1427,2,0
76.05,55.44,0.1427,2,0
79.67,56.31,0.1479,2,0
83.78,59.6,0.1521,2,0
86.14,61.47,0.1562,2,0
87.19,64.54,0.1573,2,0
90.87,69.29,0.1646,2,0
98.68,74.81,0.1781,2,0
106.66,87.67,0.1938,2,-1
114.82,109.91,0.2,2,-1
124.18,124.26,0.2031,2,-1
126.11,123.17,0.2,2,-1
136.73,131.03,0.2031,2,-1
141.55,133.61,0.2135,2,-1
145.86,143.38,0.2156,2,-1
150.81,143.8,0.2156,2,-1
152.73,142.76,0.2146,2,-1
153.91,146.99,0.2083,2,-1
153.76,152.17,0.201,2,1
154.78,151.16,0.1969,2,1
156.35,150.62,0.1906,2,1
156.89,155.45,0.1865,2,1
